,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
300,232.3,0.67,1,Lecythis persistens,Lupinus perennis,Stephanomeria minor
301,244.4,0.6,1,Licania alba,Lupinus perennis,Stephanomeria minor
302,178.8,0.55,1,Licania membranacea,Lupinus perennis,Stephanomeria minor
303,473.8,0.38,1,Macoubea guianensis,Lupinus perennis,Stephanomeria paniculata
304,243.8,0.74,1,Ormosia coutinhoi,Lupinus perennis,Stephanomeria parryi
305,211.8,0.47,1,Poraqueiba guianensis,Lupinus perennis,Stephanomeria pauciflora
306,260.3,0.56,1,Posoqueria latifolia,Lupinus perennis,Stephanomeria runcinata
307,156.0,0.26,1,Pradosia cochlearia,Lupinus perennis,Stephanomeria schottii
308,300.3,0.7,1,Protium opacum,Lupinus perennis,Stephanomeria thurberi
309,420.4,1.1,1,Recordoxylon speciosum,Lupinus perennis,Stephanomeria virgata
310,603.7,0.76,1,Simarouba amara repeat,Lupinus perennis,Stephanomeria virgata
311,272.4,0.24,1,SiparuNAdecipiens,Lupinus perennis,Stephanomeria virgata
312,397.9,0.46,1,Sloanea grandiflora,Lupinus perennis,Stephanomeria wrightii
313,332.4,0.72,1,Sterculia pruriens,Lupinus perennis,Ulva clathratioides
314,,0.58,0,Swartzia panacoco,Lupinus perennis,Ulva pertusa
315,233.1,0.71,1,Symphonia globulifera,Lupinus perennis,Ulva L.
316,481.8,0.72,1,Tabebuia insignis,Lupinus perennis,Claytonia perfoliata
317,486.0,1.16,1,Tapirira guianensis,Lupinus perennis,Claytonia perfoliata
318,349.3,0.8,1,Tapirira obtusa,Lupinus perennis,Claytonia perfoliata
319,272.8,0.28,1,Theobroma subincanum,Lupinus perennis,Claytonia perfoliata
320,369.3,0.94,1,Virola surinamensis,Lupinus perennis,Dudleya caespitosa
321,633.2,1.22,1,Vismia sessilifolia,Lupinus perennis,Ixeris stolonifera
322,300.8,0.4,1,Amaioua guianensis,Lupinus perennis,Lactuca biennis
323,211.8,0.5,1,Amphirrhox longifolia,Lupinus perennis,Lactuca canadensis
324,312.0,1.16,1,Bocoa prouacensis,Lupinus perennis,Lactuca L.
325,218.8,0.48,1,Casearia javitensis,Lupinus perennis,Lactuca floridana
326,207.4,0.8,1,Chaetocarpus schomburgkianus,Lupinus perennis,Lactuca floridana
327,152.2,1.24,1,Chrysophyllum prieurii,Lupinus perennis,Lactuca floridana
328,318.9,0.79,1,Chrysophyllum sanguinolentum,Lupinus perennis,Lactuca graminifolia
329,271.5,0.62,1,Couratari multiflora,Lupinus perennis,Lactuca graminifolia
330,232.4,0.55,1,Cupania scrobiculata,Lupinus perennis,Lactuca graminifolia
331,491.7,0.56,1,Dialium guianense,Lupinus perennis,Lactuca hirsuta
332,188.1,1.04,1,Duroia longiflora,Lupinus perennis,Lactuca hirsuta
333,163.2,0.83,1,Eperua falcata,Lupinus perennis,Lactuca hirsuta
334,183.4,0.62,1,Eschweilera coriacea,Lupinus perennis,Lactuca hirsuta
335,150.7,0.87,1,Eschweilera sagotiana,Lupinus perennis,Lactuca indica
336,368.1,1.34,1,Guarea kunthiana,Lupinus perennis,Lactuca ludoviciana
337,,0.71,0,Gustavia hexapetala,Lupinus perennis,Lactuca ×morssii
338,422.0,0.42,1,Hebepetalum humiriifolium,Lupinus perennis,Lactuca saligna
339,266.5,0.73,1,Iryanthera hostmannii,Lupinus perennis,Lactuca sativa
340,208.3,1.06,1,Iryanthera sagotiana,Lupinus perennis,Lactuca serriola
341,279.0,1.11,1,Lecythis persistens,Lupinus perennis,Lactuca tatarica
342,105.4,0.63,1,Leonia glycycarpa,Lupinus perennis,Lactuca tatarica
343,78.1,0.87,1,Licania alba,Lupinus perennis,Lactuca virosa
344,116.9,0.92,1,Licania canescens,Lupinus perennis,Montia bostockii
345,261.7,0.82,1,Licania heteromorpha,Lupinus perennis,Montia chamissoi
346,199.8,0.73,1,Licania membranacea,Lupinus perennis,Montia dichotoma
347,555.2,0.84,1,Macoubea guianensis,Lupinus perennis,Montia diffusa
348,164.8,0.9,1,Micropholis guyanensis,Lupinus perennis,Montia fontana
349,140.7,0.29,1,Oenocarpus bataua,Lupinus perennis,Montia howellii
350,,0.22,0,Oxandra asbeckii,Lupinus perennis,Montia linearis
351,76.6,0.71,1,Platonia insignis,Lupinus perennis,Montia L.
352,168.4,0.92,1,Pogonophora schomburgkiana,Lupinus perennis,Montia parvifolia
353,267.4,0.42,1,Poraqueiba guianensis,Lupinus perennis,Montia parvifolia
354,262.8,0.39,1,Pouteria bangii,Lupinus perennis,Montia parvifolia
355,137.4,0.89,1,Pouteria torta subsp tuberculata,Lupinus perennis,Mycelis muralis
356,332.8,0.98,1,Protium opacum,Lupinus perennis,Ottelia alismoides
357,368.2,1.11,1,Simaba cedron,Lupinus perennis,Pinaropappus Less.
358,198.4,0.88,1,SiparuNAdecipiens,Lupinus perennis,Pinaropappus parvus
359,195.6,1.44,1,Tapura capitulifera,Lupinus perennis,Pinaropappus roseus
360,192.5,0.92,1,Tetragastris panamensis,Lupinus perennis,Pinaropappus roseus
361,261.1,0.53,1,Theobroma subincanum,Lupinus perennis,Pinaropappus roseus
362,371.8,0.87,1,Thyrsodium spruceanum,Lupinus perennis,Pistia stratiotes
363,555.3,1.18,1,Virola michelii,Lupinus perennis,Saxifraga micranthidifolia
364,442.7,1.06,1,Vouacapoua americana,Lupinus perennis,Stephanomeria blairii
365,527.0,1.95,1,Acacia rostellifera,Lupinus perennis,Stephanomeria cichoriacea
366,746.3,1.24,1,Anthocercis littorea,Lupinus perennis,Stephanomeria diegensis
367,440.3,2.01,1,Chenopodiaceae,Lupinus perennis,Stephanomeria elata
368,656.5,0.94,1,Dioscorea hastifolia,Lupinus perennis,Stephanomeria Nutt.
369,652.5,2.01,1,Myoporum insulare,Lupinus perennis,Stephanomeria exigua
370,497.9,3.33,1,Olearia axillaris,Lupinus perennis,Stephanomeria exigua
371,454.8,1.45,1,Spyridium globulosum,Lupinus perennis,Stephanomeria exigua
372,302.8,1.24,1,Templetonia retusa,Lupinus perennis,Stephanomeria exigua
373,820.0,5.33,1,Acacia lasiocarpa,Lupinus perennis,Stephanomeria exigua
374,677.2,1.43,1,Acacia rostellifera,Lupinus perennis,Stephanomeria exigua
375,410.9,1.23,1,Banksia nivea,Lupinus perennis,Stephanomeria fluminea
376,661.7,2.03,1,Clematis linearifolia,Lupinus perennis,Stephanomeria lactucina
377,408.5,4.79,1,Melaleuca systena,Lupinus perennis,Stephanomeria malheurensis
378,835.7,2.15,1,Opercularia spermacocea,Lupinus perennis,Stephanomeria minor
379,597.4,0.9,1,Phyllanthus calycinus,Lupinus perennis,Stephanomeria minor
380,143.7,1.81,1,Santalum acuminatum,Lupinus perennis,Stephanomeria minor
381,486.5,0.98,1,Spyridium globulosum,Lupinus perennis,Stephanomeria minor
382,737.7,2.62,1,Acacia rostellifera,Lupinus perennis,Stephanomeria paniculata
383,653.8,1.76,1,Anthocercis littorea,Lupinus perennis,Stephanomeria parryi
384,221.6,2.48,1,Banksia leptophylla var  Melletica,Lupinus perennis,Stephanomeria pauciflora
385,372.4,1.29,1,Banksia nivea,Lupinus perennis,Stephanomeria runcinata
386,439.9,1.07,1,Banksia prionotes ,Lupinus perennis,Stephanomeria schottii
387,245.1,2.38,1,Conospermum stoechadis,Lupinus perennis,Stephanomeria thurberi
388,546.2,1.8,1,Genus:  Scaevola ,Lupinus perennis,Stephanomeria virgata
389,265.3,1.94,1,Hakea incrassate ,Lupinus perennis,Stephanomeria virgata
390,401.6,2.41,1,Labichea cassioides,Lupinus perennis,Stephanomeria virgata
391,369.9,3.91,1,Melaleuca systena,Lupinus perennis,Stephanomeria wrightii
392,147.9,2.29,1,Aptandra liriosmoides,Lupinus perennis,Ulva clathratioides
393,,2.25,0,Couma macrocarpa,Lupinus perennis,Ulva pertusa
394,55.5,0.52,1,Eschweilera coriacea,Lupinus perennis,Ulva L.
395,223.5,1.98,1,Mezilaurus synandra,Lupinus perennis,Andromeda L.
396,92.4,1.48,1,Micropholis guyanensis,Lupinus perennis,Andromeda ×jamesiana
397,237.0,0.72,1,Mouriri nigra,Lupinus perennis,Andromeda polifolia
398,132.7,0.64,1,Myrciaria floribunda,Lupinus perennis,Andromeda polifolia
399,401.2,1.31,1,Osteophloeum platyspermum,Lupinus perennis,Andromeda polifolia
400,514.0,1.03,1,Pourouma bicolor,Lupinus perennis,Argusia gnaphalodes
401,,1.47,0,Pouteria cuspidata subsp robusta,Lupinus perennis,Argusia Boehmer
402,190.5,1.72,1,Pouteria guianensis,Lupinus perennis,Argusia sibirica
403,196.0,1.68,1,Pouteria platyphylla,Lupinus perennis,Conradina canescens
404,252.8,1.38,1,Qualea paraensis,Lupinus perennis,Conradina etonia
405,379.7,1.21,1,Sloanea brevipes,Lupinus perennis,Conradina glabra
406,457.1,1.86,1,Alchornea triplinervia,Lupinus perennis,Conradina grandiflora
407,187.9,1.69,1,Aspidosperma desmanthum,Lupinus perennis,Conradina A.
408,292.5,2.37,1,Brosimum rubescens,Lupinus perennis,Conradina verticillata
409,361.3,1.47,1,Brosimum utile subsp ovatifolium,Lupinus perennis,Helianthemum rosmarinifolium
410,166.0,1.17,1,Caraipa tereticaulis,Lupinus perennis,Limonium californicum
411,201.8,1.61,1,Chrysophyllum sanguinolentum,Lupinus perennis,Merremia quinquefolia
412,182.1,1.56,1,Emmotum floribundum,Lupinus perennis,Poliomintha glabrescens
413,187.9,1.09,1,Haploclathra cordata,Lupinus perennis,Poliomintha A.
414,172.0,0.85,1,Licaria cannella,Lupinus perennis,Rosmarinus officinalis
415,261.6,1.19,1,Lueheopsis althaeiflora,Lupinus perennis,Rosmarinus L.
416,315.9,1.68,1,Macoubea sprucei,Lupinus perennis,Andromeda L.
417,116.6,1.45,1,Micrandra spruceana,Lupinus perennis,Andromeda ×jamesiana
418,185.1,1.05,1,Micropholis guyanensis subsp guyanensis,Lupinus perennis,Andromeda polifolia
419,266.4,1.06,1,Parahancornia peruviana,Lupinus perennis,Andromeda polifolia
420,98.8,1.31,1,Pouteria lucumifolia,Lupinus perennis,Andromeda polifolia
421,209.7,1.12,1,Protium polybotryum,Lupinus perennis,Argusia gnaphalodes
422,227.5,1.61,1,Roucheria columbiana,Lupinus perennis,Argusia Boehmer
423,109.4,0.46,1,Tovomita calophyllophylla,Lupinus perennis,Argusia sibirica
424,328.5,0.33,1,Apodytes brachystylis,Lupinus perennis,Conradina canescens
425,209.3,0.41,1,Beilschmiedia tooram,Lupinus perennis,Conradina etonia
426,244.2,0.25,1,Bubbia semecarpoides,Lupinus perennis,Conradina glabra
427,363.5,0.7,1,Elaeocarpus largiflorens,Lupinus perennis,Conradina grandiflora
428,624.8,0.73,1,Litsea Leafeana,Lupinus perennis,Conradina A.
429,471.2,0.28,1,Neolitsea dealbata,Lupinus perennis,Conradina verticillata
430,294.3,0.48,1,Sloanea australis,Lupinus perennis,Helianthemum rosmarinifolium
431,348.2,0.64,1,Synima cordierorum,Lupinus perennis,Limonium californicum
432,482.6,1.51,1,unidentified sp,Lupinus perennis,Merremia quinquefolia
433,158.1,0.46,1,Wilkiea sp,Lupinus perennis,Poliomintha glabrescens
434,326.5,0.23,1,Ardisia brevipedata,Lupinus perennis,Poliomintha A.
435,303.6,0.68,1,Cardwellia sublimis,Lupinus perennis,Rosmarinus officinalis
436,431.3,0.72,1,Cryptocarya onopriekna,Lupinus perennis,Rosmarinus L.
437,244.9,0.86,1,Darlingia darlingiana,Lupinus perennis,Andromeda L.
438,564.9,0.78,1,Polyscias elegans,Lupinus perennis,Andromeda ×jamesiana
439,277.5,0.93,1,Toechima,Lupinus perennis,Andromeda polifolia
440,641.4,1.58,1,Anacardium excelsum,Lupinus perennis,Andromeda polifolia
441,893.8,1.23,1,Antirhea trichantha,Lupinus perennis,Andromeda polifolia
442,481.8,1.52,1,Castilla elastica,Lupinus perennis,Argusia gnaphalodes
443,1016.9,1.81,1,Cecropia longipes,Lupinus perennis,Argusia Boehmer
444,647.4,2.12,1,Luehea seemannii,Lupinus perennis,Argusia sibirica
445,964.0,1.4,1,Urera caracasana,Lupinus perennis,Conradina canescens
446,,0.89,0,Acacia bonariensis,Lupinus perennis,Conradina etonia
447,,0.82,0,Alibertia verrucosa,Lupinus perennis,Conradina glabra
448,,0.65,0,Ampelocera ruizii,Lupinus perennis,Conradina grandiflora
449,,0.87,0,Aspidosperma cylindrocarpon,Lupinus perennis,Conradina A.
450,,0.54,0,Aspidosperma rigidum,Lupinus perennis,Conradina verticillata
451,,0.52,0,Batocarpus amazonicus,Lupinus perennis,Helianthemum rosmarinifolium
452,,0.58,0,CariniaNAestrellensis,Lupinus perennis,Limonium californicum
453,,0.49,0,CariniaNAianeirensis,Lupinus perennis,Merremia quinquefolia
454,,0.61,0,Casearia gossypiosperma,Lupinus perennis,Poliomintha glabrescens
455,,0.73,0,Cavanillesia hylogeiton,Lupinus perennis,Poliomintha A.
456,,0.98,0,Cecropia concolor,Lupinus perennis,Rosmarinus officinalis
457,,0.64,0,Cedrela fissilis,Lupinus perennis,Rosmarinus L.
458,,0.98,0,Ceiba pentandra,Lupinus perennis,Andromeda L.
459,,0.78,0,Centrolobium microchaete,Lupinus perennis,Andromeda ×jamesiana
460,,0.86,0,Chorisia speciosa,Lupinus perennis,Andromeda polifolia
461,,1.23,0,Cupania cinerea,Lupinus perennis,Andromeda polifolia
462,,0.48,0,Dendropanax arboreus,Lupinus perennis,Andromeda polifolia
463,,0.46,0,Erythrochiton fallax,Lupinus perennis,Argusia gnaphalodes
464,,0.52,0,Eugenia florida,Lupinus perennis,Argusia Boehmer
465,,0.94,0,Ficus boliviana,Lupinus perennis,Argusia sibirica
466,,0.67,0,Gallesia integrifolia,Lupinus perennis,Conradina canescens
467,,0.63,0,Guarea guidonia,Lupinus perennis,Conradina etonia
468,,0.63,0,Hirtella triandra,Lupinus perennis,Conradina glabra
469,,1.11,0,Hura crepitans,Lupinus perennis,Conradina grandiflora
470,,0.45,0,Inga edulis,Lupinus perennis,Conradina A.
471,,0.53,0,Jacaratia spinosa,Lupinus perennis,Conradina verticillata
472,,0.19,0,Licaria triandra,Lupinus perennis,Helianthemum rosmarinifolium
473,,0.8,0,Maclura tinctoria,Lupinus perennis,Limonium californicum
474,,1.16,0,Margaritaria nobilis,Lupinus perennis,Merremia quinquefolia
475,,0.84,0,Myrcianthes sp,Lupinus perennis,Poliomintha glabrescens
476,,0.9,0,Neea hermaphrodita,Lupinus perennis,Poliomintha A.
477,,0.35,0,Ocotea guianensis,Lupinus perennis,Rosmarinus officinalis
478,,0.47,0,Ocotea sp,Lupinus perennis,Rosmarinus L.
479,,0.71,0,Peschiera australis,Lupinus perennis,Andromeda L.
480,,0.68,0,Picramnia sellowii,Lupinus perennis,Andromeda ×jamesiana
481,,0.61,0,Pouteria macrophylla,Lupinus perennis,Andromeda polifolia
482,,0.52,0,Pouteria nemorosa,Lupinus perennis,Andromeda polifolia
483,,0.57,0,Pseudolmedia laevis,Lupinus perennis,Andromeda polifolia
484,,1.04,0,Sapindus saponaria,Lupinus perennis,Argusia gnaphalodes
485,,1.07,0,Sapium glandulosum,Lupinus perennis,Argusia Boehmer
486,,0.88,0,Spondias mombin,Lupinus perennis,Argusia sibirica
487,,0.47,0,Stylogyne ambigua,Lupinus perennis,Conradina canescens
488,,0.68,0,Sweetia fruticosa,Lupinus perennis,Conradina etonia
489,,0.74,0,Swietenia macrophylla,Lupinus perennis,Conradina glabra
490,,1.04,0,Terminalia oblonga,Lupinus perennis,Conradina grandiflora
491,,0.47,0,Trema micrantha,Lupinus perennis,Conradina A.
492,,0.84,0,Triplaris americana,Lupinus perennis,Conradina verticillata
493,,1.0,0,unidentified sp,Lupinus perennis,Helianthemum rosmarinifolium
494,,0.6,0,Urera caracasana,Lupinus perennis,Limonium californicum
495,,0.88,0,Zanthoxylum sprucei,Lupinus perennis,Merremia quinquefolia
496,,0.33,0,Atolla otoleoides,Lupinus perennis,Poliomintha glabrescens
497,,0.44,0,Goupia glabra,Lupinus perennis,Poliomintha A.
498,,0.63,0,Helicostylis sp,Lupinus perennis,Rosmarinus officinalis
499,,0.83,0,Inga sp,Lupinus perennis,Rosmarinus L.
500,,1.03,0,Jacaranda copaia,Lupinus perennis,Acaena myriophylla
501,,0.44,0,Memora sp,Lupinus perennis,Anethum L.
502,,0.33,0,Oenocarpus sp,Lupinus perennis,Anethum graveolens
503,,0.38,0,Protium sp,Lupinus perennis,Argyranthemum foeniculum
504,,0.38,0,Vochysia sp,Lupinus perennis,Argyranthemum Webb
505,,0.85,0,Combretum micranthum,Lupinus perennis,Calliandra californica
506,,1.26,0,Combretum nigricans,Lupinus perennis,Carex cordillerana
507,,1.01,0,Guiera senegalensis,Lupinus perennis,Cornus unalaschkensis
508,,0.4,0,Anomalocalyx uleanus,Lupinus perennis,Desmodium glabellum
509,,1.29,0,Arrabidaea prancei,Lupinus perennis,Dillenia L.
510,,0.63,0,Brachiaria brizantha,Lupinus perennis,Dillenia ovata
511,,0.68,0,Combretum sp,Lupinus perennis,Dillenia philippinensis
512,,0.68,0,Copaifera duckei,Lupinus perennis,Dillenia suffruticosa
513,,1.32,0,Cordia bicolor,Lupinus perennis,Manilkara jaimiqui
514,,1.38,0,Desmodium sp,Lupinus perennis,Manilkara jaimiqui
515,,0.88,0,Dichapetalum spruceanum,Lupinus perennis,Manilkara zapota
516,,0.17,0,Duguetia cadaverica,Lupinus perennis,Miconia prasina
517,,0.21,0,Faramea platyneura,Lupinus perennis,Passiflora edulis
518,,0.27,0,Lecythis lurida,Lupinus perennis,Passiflora ligularis
519,,0.27,0,Lecythis sp,Lupinus perennis,Pavonia paniculata
520,,0.66,0,Manilkara huberi,Lupinus perennis,Passiflora quadrangularis
521,,0.91,0,Memora tanaeciicarpa,Lupinus perennis,Penstemon floribundus
522,,0.22,0,Miconia acinodendron,Lupinus perennis,Senna nitida
523,,0.62,0,Micropholis sp,Lupinus perennis,Thelypteris inabonensis
524,,0.25,0,Murta sp,Lupinus perennis,Veronica dillenii
525,,0.82,0,Prionostemma aspera,Lupinus perennis,Acaena myriophylla
526,,0.33,0,Protium puncticulatum,Lupinus perennis,Anethum L.
527,,0.23,0,Rinorea neglecta,Lupinus perennis,Anethum graveolens
528,,0.33,0,Sclerolobium paraense,Lupinus perennis,Argyranthemum foeniculum
529,,1.31,0,Tachigali myrmecophila,Lupinus perennis,Argyranthemum Webb
530,,1.01,0,Tetrapterys sp,Lupinus perennis,Calliandra californica
531,,0.53,0,unidentified sp,Lupinus perennis,Carex cordillerana
532,,1.03,0,Vismia sp,Lupinus perennis,Cornus unalaschkensis
533,,0.77,0,Amphimas pterocarpoides,Lupinus perennis,Desmodium glabellum
534,,0.72,0,Celtis adolfi friderici,Lupinus perennis,Dillenia L.
535,,0.54,0,Haumania danckelmaniana,Lupinus perennis,Dillenia ovata
536,,0.96,0,Musanga cecropioides,Lupinus perennis,Dillenia philippinensis
537,,0.72,0,Staudtia stipitata,Lupinus perennis,Dillenia suffruticosa
538,,0.24,0,Trichilia sp,Lupinus perennis,Manilkara jaimiqui
539,,1.38,0,Lyonia lucida,Lupinus perennis,Manilkara jaimiqui
540,,0.74,0,Persea borbonia,Lupinus perennis,Manilkara zapota
541,,0.92,0,Pinus palustris,Lupinus perennis,Miconia prasina
542,,1.39,0,Pinus serotina,Lupinus perennis,Passiflora edulis
543,,1.25,0,Pterocaulon pycnostachyum,Lupinus perennis,Passiflora ligularis
544,,0.65,0,Quercus laevis,Lupinus perennis,Pavonia paniculata
545,,0.91,0,Quercus virginiana,Lupinus perennis,Passiflora quadrangularis
546,,1.32,0,Taxodium distichum,Lupinus perennis,Penstemon floribundus
547,,0.8,0,Vaccinium arboreum,Lupinus perennis,Senna nitida
548,,1.3,0,Vaccinium corymbosum,Lupinus perennis,Thelypteris inabonensis
549,,1.79,0,Abies balsamea,Lupinus perennis,Veronica dillenii
550,,0.91,0,Acer rubrum,Lupinus perennis,Acaena myriophylla
551,,0.49,0,Acer saccharum,Lupinus perennis,Anethum L.
552,,1.07,0,Betula papyrifera,Lupinus perennis,Anethum graveolens
553,,0.47,0,Ostrya virginiana,Lupinus perennis,Argyranthemum foeniculum
554,,1.94,0,Picea glauca,Lupinus perennis,Argyranthemum Webb
555,,2.22,0,Pinus resinosa,Lupinus perennis,Calliandra californica
556,,1.84,0,Pinus strobus,Lupinus perennis,Carex cordillerana
557,,0.59,0,Prunus virginiana,Lupinus perennis,Cornus unalaschkensis
558,,0.71,0,Quercus rubra,Lupinus perennis,Desmodium glabellum
559,,0.58,0,Tilia americana,Lupinus perennis,Dillenia L.
560,,0.42,0,Acer saccharum,Lupinus perennis,Dillenia ovata
561,,1.16,0,Acer rubrum,Lupinus perennis,Dillenia philippinensis
562,,1.72,0,Quercus alba,Lupinus perennis,Dillenia suffruticosa
563,,1.78,0,Quercus rubra,Lupinus perennis,Manilkara jaimiqui
564,,1.08,0,Castanea sativa,Lupinus perennis,Manilkara jaimiqui
565,,0.76,0,Catalpa ovata,Lupinus perennis,Manilkara zapota
566,,0.43,0,Fagus sylvatica,Lupinus perennis,Miconia prasina
567,,0.34,0,Ginkgo biloba,Lupinus perennis,Passiflora edulis
568,,1.3,0,Picea abies,Lupinus perennis,Passiflora ligularis
569,,4.63,0,Pinus strobus,Lupinus perennis,Pavonia paniculata
570,,1.07,0,Pinus sylvestris,Lupinus perennis,Passiflora quadrangularis
571,,1.09,0,Quercus robur,Lupinus perennis,Penstemon floribundus
572,,4.79,0,Sequoiadendron sp,Lupinus perennis,Senna nitida
573,561.3,1.58,1,Cryptocarya alba,Lupinus perennis,Thelypteris inabonensis
574,489.8,1.64,1,Drimys winteri,Lupinus perennis,Veronica dillenii
575,524.5,0.82,1,Eucryphia cordifolia,Lupinus perennis,Acaena myriophylla
576,392.9,1.88,1,Luma apiculata,Lupinus perennis,Anethum L.
577,714.1,1.29,1,Nothofagus dombeyi,Lupinus perennis,Anethum graveolens
578,268.9,1.16,1,Podocarpus saligna,Lupinus perennis,Argyranthemum foeniculum
579,227.5,1.53,1,Austrocedrus chilensis,Lupinus perennis,Argyranthemum Webb
580,403.1,1.27,1,Lomatia hirsuta,Lupinus perennis,Calliandra californica
581,476.3,0.57,1,Persea lingue,Lupinus perennis,Carex cordillerana
582,207.9,1.02,1,Podocarpus saligna,Lupinus perennis,Cornus unalaschkensis
583,200.8,0.76,1,Prumnopitys andina,Lupinus perennis,Desmodium glabellum
584,184.3,0.65,1,Aextoxicon punctatum,Lupinus perennis,Dillenia L.
585,381.3,1.33,1,Dasyphyllum diacanthoides,Lupinus perennis,Dillenia ovata
586,267.5,2.2,1,Drimys winteri,Lupinus perennis,Dillenia philippinensis
587,796.5,2.07,1,Embothrium coccineum,Lupinus perennis,Dillenia suffruticosa
588,422.8,1.0,1,Eucryphia cordifolia,Lupinus perennis,Manilkara jaimiqui
589,353.2,1.29,1,GevuiNAavellana,Lupinus perennis,Manilkara jaimiqui
590,199.5,1.29,1,Laurelia philippiana,Lupinus perennis,Manilkara zapota
591,305.4,1.68,1,Luma apiculata,Lupinus perennis,Miconia prasina
592,238.3,0.9,1,Myrceugenia planipes,Lupinus perennis,Passiflora edulis
593,502.5,2.0,1,Nothofagus dombeyi,Lupinus perennis,Passiflora ligularis
594,196.2,1.09,1,Podocarpus nubigena,Lupinus perennis,Pavonia paniculata
595,230.2,0.79,1,Saxegothaea conspicua,Lupinus perennis,Passiflora quadrangularis
596,,0.6,0,Castanopsis sieboldii,Lupinus perennis,Penstemon floribundus
597,,0.34,0,Neolitsea sericea,Lupinus perennis,Senna nitida
598,,0.6,0,Persea thunbergii,Lupinus perennis,Thelypteris inabonensis
